                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1664,                 1.3864,                 1.2171,                0.65086,                0.54861,                0.61758,                0.45583,                 1.0799,                 1.0969,                 1.1258,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1815,                 1.4271,                 1.2554,                0.66988,                0.58981,                0.64883,                0.48016,                 1.0571,                 1.0628,                 1.1128,               0.086005,               0.001005,               0.001005
                      2,                 1.1725,                 1.3195,                 1.2506,                0.67553,                0.59014,                0.65811,                0.48891,                 1.0561,                 1.0427,                 1.1081,               0.077782,               0.000782,               0.000782
