                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.9365,                0.84078,                 1.0715,                0.75661,                0.76439,                 0.8335,                0.63712,                 0.9252,                0.77528,                 1.0301,               0.006733,               0.006733,               0.006733
                     35,                0.94025,                0.85259,                 1.0868,                0.85042,                 0.7263,                0.83864,                0.63367,                0.93055,                0.77331,                 1.0327,               0.006634,               0.006634,               0.006634
                     36,                0.99444,                0.88623,                 1.0952,                0.84959,                0.75737,                0.85408,                0.64485,                 0.9082,                0.75858,                 1.0165,               0.006535,               0.006535,               0.006535
                     37,                0.94889,                0.87449,                 1.1038,                0.84462,                0.76617,                0.85328,                0.65641,                0.90774,                0.72288,                 1.0169,               0.006436,               0.006436,               0.006436
                     38,                 1.0414,                0.92213,                 1.1038,                0.86239,                0.78049,                0.87253,                0.67755,                 0.8813,                0.71175,                 1.0039,               0.006337,               0.006337,               0.006337
                     39,                0.96087,                0.84903,                  1.091,                0.85165,                0.79483,                0.87943,                0.69158,                0.88524,                0.71282,                      1,               0.006238,               0.006238,               0.006238
                     40,                  0.953,                0.88728,                 1.0877,                0.87398,                0.77467,                0.87185,                0.67309,                0.86914,                0.71091,                0.99235,               0.006139,               0.006139,               0.006139
                     41,                0.93167,                0.84112,                 1.0701,                0.83368,                0.82841,                0.87639,                0.68318,                0.85703,                 0.6952,                0.98687,                0.00604,                0.00604,                0.00604
                     42,                0.93764,                0.83276,                  1.081,                0.84229,                0.79128,                0.86057,                0.67873,                0.84882,                0.71325,                0.98819,               0.005941,               0.005941,               0.005941
                     43,                0.91199,                0.80776,                 1.0756,                0.84484,                0.81533,                0.87502,                 0.6862,                0.84175,                0.69583,                0.97858,               0.005842,               0.005842,               0.005842
                     44,                0.88934,                 0.7969,                 1.0592,                0.81922,                0.81424,                0.86945,                0.67887,                0.85911,                0.70835,                0.98472,               0.005743,               0.005743,               0.005743
                     45,                0.94783,                0.84465,                 1.0548,                0.87157,                0.81156,                0.88053,                0.68089,                  0.858,                0.72309,                0.98736,               0.005644,               0.005644,               0.005644
                     46,                0.91765,                 0.7893,                 1.0541,                0.85692,                0.82663,                0.88288,                0.69218,                 0.8352,                0.71375,                0.97782,               0.005545,               0.005545,               0.005545
                     47,                0.89419,                0.76062,                 1.0365,                0.89164,                0.80945,                0.88435,                0.70779,                0.81331,                0.70597,                0.97017,               0.005446,               0.005446,               0.005446
                     48,                0.87958,                0.74728,                 1.0445,                0.89284,                0.81087,                0.88188,                0.71355,                0.80207,                0.68763,                0.96355,               0.005347,               0.005347,               0.005347
                     49,                0.91375,                 0.8035,                 1.0594,                0.90751,                0.80964,                0.89143,                0.71893,                 0.7846,                0.67706,                0.95786,               0.005248,               0.005248,               0.005248
                     50,                0.89218,                0.75572,                 1.0457,                0.89416,                0.81209,                0.89134,                0.71581,                0.78932,                0.64093,                0.95745,               0.005149,               0.005149,               0.005149
                     51,                0.88708,                0.75965,                 1.0547,                0.88393,                0.81898,                0.89174,                0.71219,                0.78715,                0.62505,                0.95736,                0.00505,                0.00505,                0.00505
                     52,                0.88925,                0.75995,                 1.0572,                0.87737,                0.82562,                 0.8921,                0.71502,                0.77782,                0.61826,                0.95367,               0.004951,               0.004951,               0.004951
                     53,                0.84557,                0.74726,                 1.0228,                 0.8832,                0.82383,                0.89662,                0.71912,                0.78717,                0.62655,                0.95916,               0.004852,               0.004852,               0.004852
                     54,                0.89511,                0.76694,                 1.0528,                0.88991,                0.82714,                0.90011,                0.72247,                0.76792,                0.60288,                0.95179,               0.004753,               0.004753,               0.004753
                     55,                  0.886,                0.76713,                   1.04,                0.89487,                0.83754,                0.90549,                0.72566,                0.76982,                0.60245,                0.95245,               0.004654,               0.004654,               0.004654
                     56,                0.87072,                0.74256,                 1.0449,                0.88421,                0.84384,                0.90952,                0.72448,                0.75819,                0.59609,                0.94762,               0.004555,               0.004555,               0.004555
                     57,                0.86215,                0.73358,                 1.0125,                0.88361,                0.85512,                0.90559,                0.73109,                0.74469,                0.57929,                0.93836,               0.004456,               0.004456,               0.004456
                     58,                0.78995,                 0.6876,                0.99904,                0.88973,                0.84589,                0.90552,                0.73262,                0.74038,                0.56896,                 0.9323,               0.004357,               0.004357,               0.004357
                     59,                0.81866,                0.69046,                 1.0266,                0.88666,                0.84811,                0.90826,                0.73864,                0.73609,                0.56579,                0.92924,               0.004258,               0.004258,               0.004258
                     60,                0.82612,                0.71754,                 1.0422,                0.88793,                0.86846,                0.90822,                0.73864,                0.73327,                0.56285,                0.92991,               0.004159,               0.004159,               0.004159
                     61,                0.83462,                0.69526,                 1.0114,                 0.8876,                0.86206,                 0.9073,                0.73815,                0.74065,                0.56209,                0.93126,                0.00406,                0.00406,                0.00406
                     62,                0.85217,                0.71429,                 1.0517,                0.92665,                0.84946,                0.91116,                0.74456,                0.72925,                0.55141,                0.92727,               0.003961,               0.003961,               0.003961
                     63,                0.81684,                0.70406,                 1.0217,                0.92064,                0.84735,                0.90702,                 0.7369,                0.73441,                0.55093,                 0.9269,               0.003862,               0.003862,               0.003862
                     64,                0.86279,                0.72448,                 1.0411,                0.91618,                0.85061,                0.91235,                0.73959,                0.72732,                0.54892,                0.92068,               0.003763,               0.003763,               0.003763
                     65,                0.86592,                0.71914,                 1.0424,                0.90797,                0.84112,                0.91155,                 0.7426,                  0.729,                0.54781,                0.91746,               0.003664,               0.003664,               0.003664
                     66,                 0.8542,                 0.7021,                 1.0162,                0.89832,                0.86368,                0.91359,                0.74909,                0.72672,                0.54386,                0.91699,               0.003565,               0.003565,               0.003565
                     67,                0.79059,                0.69026,                 1.0381,                0.92456,                 0.8415,                0.91337,                0.75289,                0.72221,                0.53791,                0.91687,               0.003466,               0.003466,               0.003466
                     68,                0.78685,                0.66742,                 1.0185,                0.93458,                0.83884,                0.91657,                0.75857,                 0.7026,                0.52654,                  0.906,               0.003367,               0.003367,               0.003367
                     69,                  0.793,                0.68116,                 1.0244,                0.92628,                0.85924,                0.91762,                 0.7613,                0.69427,                0.51853,                0.90408,               0.003268,               0.003268,               0.003268
                     70,                0.78103,                 0.6539,                 1.0023,                0.91925,                0.86689,                0.92025,                0.76306,                0.68325,                0.51193,                0.89979,               0.003169,               0.003169,               0.003169
                     71,                0.81542,                0.65443,                0.99582,                0.91663,                0.86564,                0.92048,                0.76455,                0.67935,                0.50904,                0.89793,                0.00307,                0.00307,                0.00307
